Date,Zone,Price
2025-04-13 04:00:00,COMED ZONE,-52.80788
2025-04-13 03:00:00,COMED ZONE,-48.63566
2025-04-13 02:00:00,COMED ZONE,-47.17716
2025-04-17 05:00:00,COMED ZONE,-34.83483
2025-04-13 01:00:00,COMED ZONE,-29.57076
2025-04-17 03:00:00,COMED ZONE,-29.41859
2025-04-17 02:00:00,COMED ZONE,-28.6867
2025-04-13 05:00:00,COMED ZONE,-26.80307
2025-04-17 01:00:00,COMED ZONE,-25.57538
2025-04-13 07:00:00,COMED ZONE,-25.34008
2025-04-17 06:00:00,COMED ZONE,-23.38646
2025-04-13 11:00:00,COMED ZONE,-23.25304
2025-04-13 08:00:00,COMED ZONE,-22.22406
2025-04-13 12:00:00,COMED ZONE,-21.6363
2025-04-13 10:00:00,COMED ZONE,-21.03225
2025-04-13 09:00:00,COMED ZONE,-21.01247
2025-04-13 13:00:00,COMED ZONE,-20.83788
2021-12-07 03:00:00,AECO ZONE,-18.76353
2021-12-06 03:00:00,AECO ZONE,-18.53969
2021-12-06 02:00:00,AECO ZONE,-18.02086
