Date,Zone,Price
2025-07-29 18:00:00,DOM ZONE,678.08934
2024-07-15 17:00:00,BGE ZONE,669.7245
2025-07-29 17:00:00,DOM ZONE,664.90405
2024-07-15 16:00:00,BGE ZONE,662.82253
2025-07-29 17:00:00,PEPCO ZONE,659.65781
2025-07-29 17:00:00,MID-ATL/APS ZONE,657.03191
2025-07-29 18:00:00,MID-ATL/APS ZONE,616.91516
2025-07-29 18:00:00,PEPCO ZONE,616.16206
2025-06-24 17:00:00,BGE ZONE,609.74046
2025-06-24 17:00:00,PEPCO ZONE,609.5069
2025-07-29 17:00:00,BGE ZONE,607.49702
2025-06-24 17:00:00,MID-ATL/APS ZONE,598.09054
2025-07-29 17:00:00,DPL ZONE,584.21235
2025-07-29 18:00:00,BGE ZONE,583.99632
2025-07-29 18:00:00,DPL ZONE,577.51079
2025-07-29 19:00:00,MID-ATL/APS ZONE,576.26175
2025-07-29 19:00:00,PEPCO ZONE,570.84784
2025-07-29 19:00:00,DOM ZONE,568.95928
2025-07-29 16:00:00,DOM ZONE,565.91854
2025-06-24 16:00:00,BGE ZONE,565.38439
