,AECO ZONE,AEP ZONE,APS ZONE,ATSI ZONE,BGE ZONE,COMED ZONE,DAY ZONE,DEOK ZONE,DOM ZONE,DPL ZONE,DUQ ZONE,EKPC ZONE,JCPL ZONE,METED ZONE,MID-ATL/APS ZONE,OVEC ZONE,PECO ZONE,PENELEC ZONE,PEPCO ZONE,PJM-RTO ZONE,PPL ZONE,PSEG ZONE,RECO ZONE
AECO ZONE,1.0,0.8916623022435275,0.9158685633669644,0.8972504413738494,0.8865317628851068,0.8213582071369834,0.8827653887253818,0.8764303325355639,0.8558244772484851,0.9261578571399814,0.884059222024463,0.8852810902874899,0.9959215125012338,0.9483749184240629,0.9301935303439431,0.8779318714672317,0.9956205023115184,0.9330060845176097,0.9041347401510923,0.9365857094214862,0.9748815910842014,0.9941019448725195,0.9798887884952082
AEP ZONE,0.8916623022435275,1.0,0.98803747895679,0.9921941115662819,0.9303614450850328,0.941952202910463,0.9965568784189605,0.9939505699877487,0.8993275354289769,0.8095584252186352,0.9889118969821182,0.9968463603649286,0.9096666769021667,0.9192973462826061,0.928681109340112,0.9952759408692871,0.8753766638696238,0.9600190681309687,0.9323588010485445,0.9749774392900985,0.9291344241857663,0.9036648751012571,0.9054833115672916
APS ZONE,0.9158685633669644,0.98803747895679,1.0,0.9858423329018303,0.9563148144575698,0.9196551441601384,0.9836130269843752,0.9807714541552585,0.9103345047941088,0.847881037253458,0.9857298279708332,0.9851255684450255,0.9306159356452508,0.9397611356895886,0.9588738920052117,0.982354261967214,0.9038536459297496,0.9703777495168261,0.959278921470359,0.9869905495503758,0.9498989141695697,0.9253892030046073,0.9242129910666792
ATSI ZONE,0.8972504413738494,0.9921941115662819,0.9858423329018303,1.0,0.9249429849058783,0.9306938790824403,0.9909544157079836,0.9870031858070887,0.8884802905381656,0.8180259232616517,0.9923049084543893,0.9882587849272707,0.9131404293013152,0.917340110112441,0.9265748688996371,0.9896955074341484,0.8824409579074696,0.9626808831357699,0.9277319704697563,0.9706649775159321,0.9297490576810379,0.9061042037431561,0.906034802410238
BGE ZONE,0.8865317628851068,0.9303614450850328,0.9563148144575698,0.9249429849058783,1.0,0.8685216769829698,0.9237670907809681,0.920294873279303,0.9283646392587342,0.8605668962667657,0.9250123371437873,0.9245875348162358,0.8917034876439063,0.9111972789034781,0.9822575436963803,0.9175904464207677,0.8824091363344617,0.9130243931071151,0.9911125760712459,0.9739073774352237,0.9176128009841822,0.8869492051484762,0.8840539869806542
COMED ZONE,0.8213582071369834,0.941952202910463,0.9196551441601384,0.9306938790824403,0.8685216769829698,1.0,0.9411514518444503,0.9380873150722397,0.8332699245581651,0.7442306725782162,0.9292272216363006,0.9366759563135287,0.8374466639958875,0.8548466183746194,0.8633446688666664,0.939758363043925,0.8046749756199301,0.894624316064964,0.8662277674310398,0.920099410967426,0.8624052973695606,0.8318323344852204,0.8394938212438056
DAY ZONE,0.8827653887253818,0.9965568784189605,0.9836130269843752,0.9909544157079836,0.9237670907809681,0.9411514518444503,1.0,0.9966837562304822,0.8933912929163095,0.8011760345913599,0.9876905779773453,0.9959181347692537,0.9012692257690205,0.9141890478751616,0.9216877578858794,0.9951199987959387,0.8664887546443839,0.9548022148829044,0.9253910970110354,0.9695261954370595,0.9231199959184876,0.8950023957717896,0.8970529159057394
DEOK ZONE,0.8764303325355639,0.9939505699877487,0.9807714541552585,0.9870031858070887,0.920294873279303,0.9380873150722397,0.9966837562304822,1.0,0.8886958939921907,0.7954242532859965,0.9852316939736827,0.9953021811574656,0.8954033333515751,0.9096922659897991,0.9177042394371194,0.9930252041810091,0.8602426329108303,0.9500035374017828,0.9212874532369272,0.9659800449554744,0.9187398584140024,0.889157168892393,0.8911100345267728
DOM ZONE,0.8558244772484851,0.8993275354289769,0.9103345047941088,0.8884802905381656,0.9283646392587342,0.8332699245581651,0.8933912929163095,0.8886958939921907,1.0,0.8140980237227856,0.8882566700714706,0.8943476758009963,0.8644138892918819,0.8894659765153117,0.9280497529237186,0.8883372346283994,0.8452069557132165,0.8787321728985337,0.93729180782538,0.9306136711546849,0.8876323032039766,0.8590011125921264,0.8548196839503412
DPL ZONE,0.9261578571399814,0.8095584252186352,0.847881037253458,0.8180259232616517,0.8605668962667657,0.7442306725782162,0.8011760345913599,0.7954242532859965,0.8140980237227856,1.0,0.8084821881818617,0.8013324098148282,0.9166370193347793,0.8872781067028965,0.92140779975882,0.7921184074719949,0.9360553184151853,0.8579926137426699,0.8692603835854873,0.8940969723734953,0.904937035797545,0.9158321446544527,0.904599231789131
