Zone,Year,Month,Price,YearMonth,YearMonthLabel
AECO ZONE,2021,1,23.268017258064514,2021-01-01,2021-01
AECO ZONE,2021,2,39.385696532738095,2021-02-01,2021-02
AECO ZONE,2021,3,20.692992960969047,2021-03-01,2021-03
AECO ZONE,2021,4,20.85623134722222,2021-04-01,2021-04
AECO ZONE,2021,5,23.081468064516127,2021-05-01,2021-05
AECO ZONE,2021,6,27.599029402777777,2021-06-01,2021-06
AECO ZONE,2021,7,33.96537071236559,2021-07-01,2021-07
AECO ZONE,2021,8,39.53278650537634,2021-08-01,2021-08
AECO ZONE,2021,9,37.922750541666666,2021-09-01,2021-09
AECO ZONE,2021,10,44.65146555107526,2021-10-01,2021-10
AECO ZONE,2021,11,44.04441506944444,2021-11-01,2021-11
AECO ZONE,2021,12,28.436019932795695,2021-12-01,2021-12
AECO ZONE,2022,1,67.61011858870967,2022-01-01,2022-01
AECO ZONE,2022,2,46.61249818452381,2022-02-01,2022-02
AECO ZONE,2022,3,39.838207752355316,2022-03-01,2022-03
AECO ZONE,2022,4,55.636123347222224,2022-04-01,2022-04
AECO ZONE,2022,5,62.54114439516129,2022-05-01,2022-05
AECO ZONE,2022,6,64.34746652777778,2022-06-01,2022-06
AECO ZONE,2022,7,82.69554559139785,2022-07-01,2022-07
AECO ZONE,2022,8,94.33460943548388,2022-08-01,2022-08
AECO ZONE,2022,9,63.01069616666667,2022-09-01,2022-09
AECO ZONE,2022,10,45.702950860215054,2022-10-01,2022-10
AECO ZONE,2022,11,43.34976641666667,2022-11-01,2022-11
AECO ZONE,2022,12,87.60720366935485,2022-12-01,2022-12
AECO ZONE,2023,1,31.156468346774194,2023-01-01,2023-01
AECO ZONE,2023,2,28.78640395833333,2023-02-01,2023-02
AECO ZONE,2023,3,24.64924775235532,2023-03-01,2023-03
AECO ZONE,2023,4,23.910248499999998,2023-04-01,2023-04
AECO ZONE,2023,5,18.39971248655914,2023-05-01,2023-05
AECO ZONE,2023,6,18.775752208333333,2023-06-01,2023-06
AECO ZONE,2023,7,31.467635779569896,2023-07-01,2023-07
AECO ZONE,2023,8,19.72174927419355,2023-08-01,2023-08
AECO ZONE,2023,9,19.904561666666666,2023-09-01,2023-09
AECO ZONE,2023,10,22.129676706989244,2023-10-01,2023-10
AECO ZONE,2023,11,27.23430390277778,2023-11-01,2023-11
AECO ZONE,2023,12,21.90294123655914,2023-12-01,2023-12
AECO ZONE,2024,1,43.627446693548386,2024-01-01,2024-01
AECO ZONE,2024,2,20.551196709770114,2024-02-01,2024-02
AECO ZONE,2024,3,18.493453499327053,2024-03-01,2024-03
AECO ZONE,2024,4,22.68009875,2024-04-01,2024-04
AECO ZONE,2024,5,21.917696357526882,2024-05-01,2024-05
AECO ZONE,2024,6,26.315375125000003,2024-06-01,2024-06
AECO ZONE,2024,7,37.39574724462366,2024-07-01,2024-07
AECO ZONE,2024,8,28.87524311827957,2024-08-01,2024-08
AECO ZONE,2024,9,22.4829205,2024-09-01,2024-09
AECO ZONE,2024,10,25.146744543010755,2024-10-01,2024-10
AECO ZONE,2024,11,27.476599458333336,2024-11-01,2024-11
AECO ZONE,2024,12,34.710207526881725,2024-12-01,2024-12
AECO ZONE,2025,1,67.61578545698924,2025-01-01,2025-01
AECO ZONE,2025,2,47.15009636904762,2025-02-01,2025-02
AECO ZONE,2025,3,34.406678075370124,2025-03-01,2025-03
AECO ZONE,2025,4,36.00973783333333,2025-04-01,2025-04
AECO ZONE,2025,5,28.526561075268816,2025-05-01,2025-05
AECO ZONE,2025,6,37.55588566666666,2025-06-01,2025-06
AECO ZONE,2025,7,56.34781212365591,2025-07-01,2025-07
AECO ZONE,2025,8,32.340012553763444,2025-08-01,2025-08
AECO ZONE,2025,9,25.006115048355902,2025-09-01,2025-09
AEP ZONE,2021,1,25.00142978494624,2021-01-01,2021-01
AEP ZONE,2021,2,42.9278715625,2021-02-01,2021-02
AEP ZONE,2021,3,24.31780462987887,2021-03-01,2021-03
AEP ZONE,2021,4,28.49019138888889,2021-04-01,2021-04
AEP ZONE,2021,5,28.58620975806452,2021-05-01,2021-05
AEP ZONE,2021,6,32.044090499999996,2021-06-01,2021-06
AEP ZONE,2021,7,36.615729233870965,2021-07-01,2021-07
AEP ZONE,2021,8,42.1650399327957,2021-08-01,2021-08
AEP ZONE,2021,9,44.51269845833333,2021-09-01,2021-09
AEP ZONE,2021,10,58.50203314516129,2021-10-01,2021-10
AEP ZONE,2021,11,62.32089676388889,2021-11-01,2021-11
AEP ZONE,2021,12,37.22144244623656,2021-12-01,2021-12
AEP ZONE,2022,1,55.54989877688172,2022-01-01,2022-01
